axis,relationship,method,statistic,coef,coef_name,p_raw,n,p_adj,significant,effect
A: emotion↔env,label groups vs co2_mean,Kruskal–Wallis,0.161,-0.001,ε²,0.922834390350442,1690,0.922834390350442,False,negligible
A: emotion↔env,label trend vs co2_mean,Spearman(ordinal),,0.009,ρ,0.7057675393550059,1690,0.7800588592871118,False,negligible
A: emotion↔env,fer_valence vs co2_mean,Spearman,,0.166,r/ρ,6.0582295316991155e-12,1690,1.590285252071018e-11,True,small
A: emotion↔env,fer_arousal vs co2_mean,Spearman,,0.075,r/ρ,0.00212364403856248,1690,0.0037163770674843405,True,negligible
A: emotion↔env,rmssd vs co2_mean,Spearman,,-0.023,r/ρ,0.3386757781348543,1690,0.4183641965195259,False,negligible
A: emotion↔env,mean_hr vs co2_mean,Spearman,,-0.005,r/ρ,0.8336397382096429,1690,0.8753217251201251,False,negligible
B: plant↔env,bp_0_1 vs co2_mean,Spearman,,-0.614,r/ρ,1.6558527995191835e-175,1690,3.4772908789902857e-174,True,large
B: plant↔env,total_power vs co2_mean,Spearman,,-0.514,r/ρ,1.3545632801593785e-114,1690,1.4222914441673474e-113,True,large
B: plant↔env,plant_mean vs co2_mean,Spearman,,0.509,r/ρ,2.6761085569247274e-112,1690,1.8732759898473092e-111,True,large
B: plant↔env,plant_rms vs co2_mean,Spearman,,0.457,r/ρ,6.2624375764964e-88,1690,3.2877797276606103e-87,True,moderate
B: plant↔env,bp_1_5 vs co2_mean,Spearman,,-0.395,r/ρ,3.9668913806338246e-64,1690,1.6660943798662063e-63,True,moderate
B: plant↔env,plant_median vs co2_mean,Spearman,,0.365,r/ρ,1.6183506858485753e-54,1690,5.664227400470014e-54,True,moderate
B: plant↔env,plant_zcr vs co2_mean,Spearman,,0.278,r/ρ,2.670654660558303e-31,1690,8.01196398167491e-31,True,small
B: plant↔env,plant_std vs co2_mean,Spearman,,-0.158,r/ρ,7.117585133551077e-11,1690,1.6607698644952514e-10,True,small
B: plant↔env,plant_min vs co2_mean,Spearman,,0.145,r/ρ,2.3955159534022736e-09,1690,5.030583502144775e-09,True,small
B: plant↔env,plant_range vs co2_mean,Spearman,,-0.116,r/ρ,1.7819680942205195e-06,1690,3.401939088966446e-06,True,small
B: plant↔env,bp_5_15 vs co2_mean,Spearman,,-0.072,r/ρ,0.0031732177445906178,1690,0.005125967125877152,True,negligible
B: plant↔env,plant_max vs co2_mean,Spearman,,-0.065,r/ρ,0.007732021841039967,1690,0.011598032761559952,True,negligible
B: plant↔env,bp_30_50 vs co2_mean,Spearman,,-0.049,r/ρ,0.04573853956503678,1690,0.0640339553910515,False,negligible
B: plant↔env,bp_15_30 vs co2_mean,Spearman,,-0.025,r/ρ,0.2992231747860613,1690,0.3927304169067055,False,negligible
B: plant↔env,plant_iqr vs co2_mean,Spearman,,0.016,r/ρ,0.5006252847504965,1690,0.5840628322089126,False,negligible
